Date,Time,Temperature,Condition
2023-04-26,22:26,2.0,Clear
2023-04-26,22:26,2.0,Clear
2023-04-26,22:52,2.0,Clear
2023-04-26,23:00,2.0,Clear
2023-04-27,0:00,1.0,Clear
2023-04-27,1:00,-1.0,Clear
2023-04-27,2:00,-2.0,Clear
2023-04-27,3:00,-2.0,Clear
2023-04-27,4:00,-2.0,Mist
2023-04-27,5:00,-2.0,Overcast
2023-04-27,6:00,-1.0,Overcast
2023-04-27,7:00,-1.0,Partly cloudy
2023-04-27,8:00,-2.0,Partly cloudy
2023-04-27,9:00,2.0,Sunny
2023-04-27,10:00,5.0,Sunny
2023-04-27,11:00,7.0,Sunny
2023-04-27,12:00,9.0,Sunny
2023-04-27,13:00,10.0,Sunny
2023-04-27,14:00,11.0,Sunny
2023-04-27,15:00,12.0,Sunny
2023-04-27,16:00,12.0,Sunny
2023-04-27,17:00,13.0,Sunny
2023-04-27,18:00,13.0,Sunny
2023-04-27,19:00,13.0,Sunny
2023-04-27,20:00,11.5,Sunny
2023-04-27,21:00,4.1,Clear
2023-04-27,21:57,6.0,Clear
